timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1578132000.0,2020-01-04 10-AM,BTCUSD,7389,7395.7,7347.2,7347.2,83.9,619081.26
1578128400.0,2020-01-04 09-AM,BTCUSD,7376.9,7389,7370.6,7389,22.11,163121.12
1578124800.0,2020-01-04 08-AM,BTCUSD,7370.9,7388.9,7365.6,7376.9,35.7,263389.11
1578121200.0,2020-01-04 07-AM,BTCUSD,7384.57,7384.57,7361.8,7370.9,49.3,363585.54
1578117600.0,2020-01-04 06-AM,BTCUSD,7377,7389.59,7377,7384.57,96.09,709278.13
1578114000.0,2020-01-04 05-AM,BTCUSD,7358.57,7394.3,7358.5,7377,102.18,753803.68
1578110400.0,2020-01-04 04-AM,BTCUSD,7362.81,7362.81,7348.5,7358.57,64.45,474060.02
1578106800.0,2020-01-04 03-AM,BTCUSD,7353.2,7362.9,7346.96,7362.81,59.99,441420.93
1578103200.0,2020-01-04 02-AM,BTCUSD,7335.69,7355.8,7325.1,7353.2,100.86,739983.0
1578099600.0,2020-01-04 01-AM,BTCUSD,7339.68,7339.7,7329.1,7335.69,28.47,208838.34
1578096000.0,2020-01-04 12-AM,BTCUSD,7371.2,7378.6,7329.1,7339.68,51.39,378132.07
1578092400.0,2020-01-03 11-PM,BTCUSD,7334.8,7372,7330.9,7371.2,89.58,658898.96
1578088800.0,2020-01-03 10-PM,BTCUSD,7304.1,7348.2,7299.1,7334.8,98.27,719209.91
1578085200.0,2020-01-03 09-PM,BTCUSD,7353.21,7360.7,7301,7304.1,95.74,701738.97
1578081600.0,2020-01-03 08-PM,BTCUSD,7370.54,7390,7338,7353.21,53.27,391912.51
1578078000.0,2020-01-03 07-PM,BTCUSD,7372.5,7380.4,7325,7370.54,91.17,670357.68
1578074400.0,2020-01-03 06-PM,BTCUSD,7389,7397.1,7369,7372.5,64.15,473503.25
1578070800.0,2020-01-03 05-PM,BTCUSD,7426,7438.3,7370.6,7389,74.6,551903.37
1578067200.0,2020-01-03 04-PM,BTCUSD,7346,7444.9,7327.8,7426,408.99,3028523.77
1578063600.0,2020-01-03 03-PM,BTCUSD,7285.8,7350,7285.7,7346,72.14,527313.26
1578060000.0,2020-01-03 02-PM,BTCUSD,7383.3,7394.6,7272.4,7285.8,317.86,2319209.56
1578056400.0,2020-01-03 01-PM,BTCUSD,7353.03,7407.57,7342.4,7383.3,173.31,1277393.25
1578052800.0,2020-01-03 12-PM,BTCUSD,7369.5,7381.7,7338.9,7353.03,135.49,998226.28
1578049200.0,2020-01-03 11-AM,BTCUSD,7344.9,7377.2,7344.9,7369.5,138.9,1022144.64
1578045600.0,2020-01-03 10-AM,BTCUSD,7383.1,7404.17,7311.5,7344.9,329.06,2422715.12
1578042000.0,2020-01-03 09-AM,BTCUSD,7290,7385.9,7290,7383.1,315.62,2316634.16
1578038400.0,2020-01-03 08-AM,BTCUSD,7236.6,7324.6,7235.7,7290,273.18,1990230.16
1578034800.0,2020-01-03 07-AM,BTCUSD,7234.2,7260.81,7226.1,7236.6,227.94,1650690.92
1578031200.0,2020-01-03 06-AM,BTCUSD,7252.5,7252.6,7228,7234.2,128.77,932407.73
1578027600.0,2020-01-03 05-AM,BTCUSD,7255.9,7299.8,7213.2,7252.5,399.46,2890827.27
1578024000.0,2020-01-03 04-AM,BTCUSD,6977.6,7416,6977.5,7255.9,2076.41,15039980.92
1578020400.0,2020-01-03 03-AM,BTCUSD,6988.9,6996.2,6977.5,6977.6,38.84,271521.9
1578016800.0,2020-01-03 02-AM,BTCUSD,6918.7,6994.6,6909.3,6988.9,426.5,2963030.15
1578013200.0,2020-01-03 01-AM,BTCUSD,6962.5,6970.5,6918.7,6918.7,359.9,2502796.63
1578009600.0,2020-01-03 12-AM,BTCUSD,6989.4,6992.78,6950.1,6962.5,292.52,2037989.84
1578006000.0,2020-01-02 11-PM,BTCUSD,6995.79,6995.8,6984,6989.4,57.37,401181.17
1578002400.0,2020-01-02 10-PM,BTCUSD,7005.99,7010.1,6995.2,6995.79,170.71,1195726.79
1577998800.0,2020-01-02 09-PM,BTCUSD,6985,7006.6,6976.53,7005.99,58.0,405411.19
1577995200.0,2020-01-02 08-PM,BTCUSD,7013.96,7013.96,6981.2,6985,131.27,917562.19
